timestamp,open,high,low,close,volume
2025-01-01 00:00:00,29697.643557719643,29739.88427369187,29680.93518445429,29689.630344320798,142
2025-01-01 01:00:00,29737.420359847176,29781.451853420895,29714.45786218057,29770.85706344482,690
2025-01-01 02:00:00,29791.312808290808,29827.54405853078,29767.460733416847,29792.48921725413,838
2025-01-01 03:00:00,29835.430591133932,29871.54070195159,29807.41789561168,29841.779703237433,825
2025-01-01 04:00:00,29875.828231079508,29896.379790872536,29847.976337514527,29880.4114247906,110
2025-01-01 05:00:00,29925.209159110444,29933.492734858217,29911.102686577473,29899.852368213673,47
2025-01-01 06:00:00,29953.12778615018,29953.05338971688,29954.67503547586,29976.648503992754,953
2025-01-01 07:00:00,29995.398122453313,30009.75623393283,29982.012609180107,29983.023419376816,179
2025-01-01 08:00:00,30033.134825154084,30032.584103104622,30009.435454564555,30020.80862580856,996
2025-01-01 09:00:00,30063.778210389963,30075.502342371023,30036.24543730047,30046.212906618002,843
2025-01-01 10:00:00,30095.441831270273,30120.032612588748,30070.627116962893,30088.687401232768,671
2025-01-01 11:00:00,30103.11257595059,30146.95459289333,30099.582522261797,30122.580614075618,710
2025-01-01 12:00:00,30146.6709064987,30161.35612141516,30120.515309437516,30151.670633884736,296
2025-01-01 13:00:00,30169.090768614253,30176.810716924683,30150.85192113365,30159.326364060635,511
2025-01-01 14:00:00,30184.505656435344,30205.231445037098,30159.446845655617,30189.544041934892,848
2025-01-01 15:00:00,30196.443781073824,30223.992942317167,30182.894580248707,30197.050311697112,617
2025-01-01 16:00:00,30229.757497917682,30235.214309545932,30208.027106901816,30229.11960428037,641
2025-01-01 17:00:00,30228.53564084379,30259.427339899907,30214.266807233496,30226.656810389493,589
2025-01-01 18:00:00,30223.113488070605,30242.315202259662,30201.44701066582,30237.67915378742,300
2025-01-01 19:00:00,30233.879193305194,30271.646166296465,30212.155561034095,30247.279734078045,636
2025-01-01 20:00:00,30250.041555818854,30263.759872235107,30199.76415378855,30239.128396772838,519
2025-01-01 21:00:00,30222.539117608136,30245.053616699723,30213.337040677845,30239.11266466054,36
2025-01-01 22:00:00,30236.814513657522,30243.570734941983,30186.139573394266,30209.27912548747,623
2025-01-01 23:00:00,30199.165663752912,30252.20788681486,30204.24871936797,30221.425542840232,164
2025-01-02 00:00:00,30200.258607070427,30204.617910691602,30166.893173983855,30201.113113525338,630
2025-01-02 01:00:00,30168.841841626054,30209.86018264905,30156.721494896992,30177.05165868363,53
2025-01-02 02:00:00,30157.351224214908,30179.48688582149,30127.07091937628,30156.752496415702,494
2025-01-02 03:00:00,30149.814401336524,30149.65002351404,30126.79278989587,30141.778116384558,101
2025-01-02 04:00:00,30102.23633015204,30123.20904409268,30104.271894683214,30116.482835159586,226
2025-01-02 05:00:00,30086.30703508779,30112.745237431245,30069.979121557408,30092.814731578903,451
2025-01-02 06:00:00,30042.633811066968,30079.84975730947,30025.591500395705,30046.316269435407,622
2025-01-02 07:00:00,30032.67031629172,30029.420110564923,29993.915158527172,30014.766273479996,793
2025-01-02 08:00:00,29977.990872308706,29984.49157215251,29959.691208605378,29985.29160717188,918
2025-01-02 09:00:00,29960.206142163723,29981.020424075574,29949.91131129823,29958.66781598078,772
2025-01-02 10:00:00,29906.443531080815,29916.10752550872,29902.140234133833,29907.815172901493,603
2025-01-02 11:00:00,29875.876707017396,29884.979888980793,29845.161036808528,29865.7805928475,801
2025-01-02 12:00:00,29824.36598051332,29835.813237945975,29809.819323910488,29832.148871358124,885
2025-01-02 13:00:00,29774.324812313247,29805.18385732389,29775.464701405217,29810.33720316994,265
2025-01-02 14:00:00,29758.484380328842,29786.53736958276,29739.066438515616,29733.85760872532,563
2025-01-02 15:00:00,29711.351863008862,29744.84098886905,29684.884021221114,29717.055492520987,563
2025-01-02 16:00:00,29693.66463739714,29693.532149916686,29651.224852951567,29672.984643978365,578
2025-01-02 17:00:00,29630.185243506425,29646.54998617974,29601.164110463895,29640.101605260763,273
2025-01-02 18:00:00,29602.80514058334,29614.923033859388,29561.682363738913,29589.89477310982,874
2025-01-02 19:00:00,29567.939187915283,29569.395409719462,29545.717824891006,29558.46075250601,645
2025-01-02 20:00:00,29497.694327086134,29552.28779096274,29508.06293627694,29529.545377058726,746
2025-01-02 21:00:00,29500.722099591378,29512.382772557954,29483.794691722815,29492.961549095904,719
2025-01-02 22:00:00,29462.95065350183,29483.89013319193,29434.3561260471,29456.43060242534,365
2025-01-02 23:00:00,29434.115007658045,29453.897875393304,29409.520277891592,29436.54177580748,469
2025-01-03 00:00:00,29391.065129430597,29401.03797125561,29387.046356323757,29398.60424265391,103
2025-01-03 01:00:00,29398.75700638209,29418.56201737044,29389.31955532112,29390.348161861864,778
2025-01-03 02:00:00,29357.260003100517,29385.4563470098,29344.043107410635,29352.22400828276,785
2025-01-03 03:00:00,29347.80172761742,29364.404306723776,29332.13998008821,29336.784691845696,145
2025-01-03 04:00:00,29327.225372450244,29344.550733438093,29311.54270722969,29326.664695615797,532
2025-01-03 05:00:00,29331.822265646366,29352.110840239584,29302.208301467304,29337.5498004114,250
